Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV1175	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Erysipelotrichaceae	Longicatena	Longicatena_caecimuris(RS_GCF_004341945_1
ASV1176	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella_intestinihominis(RS_GCF_000296465_1
ASV1177	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Coprobacteraceae	Coprobacter	Coprobacter_fastidiosus(RS_GCF_030296935_1
ASV1178	Bacteria	Bacillota_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella_hominis(RS_GCF_014306175_1
ASV1179	Bacteria	Bacillota_A	Clostridia	TANB77	CAG-508	CAG-269	NA
ASV1180	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	NA
ASV1181	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Paraprevotella	NA
ASV1182	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Scatomorpha	Scatomorpha_sp900752445(GB_GCA_900752445_1
ASV1183	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	Odoribacter_splanchnicus(RS_GCF_000190535_1
ASV1184	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Sellimonas	Sellimonas_intestinalis(RS_GCF_001280875_1
ASV1185	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola_massiliensis(RS_GCF_000382445_1
ASV1186	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Paraprevotella	NA
ASV1187	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	NA
ASV1188	Bacteria	Bacillota_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus_intestini(RS_GCF_000425045_1
ASV1189	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_eggerthii(RS_GCF_025146565_1
ASV1190	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A	Alistipes_A_hominis(RS_GCF_014288115_1
ASV1191	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Hominiventricola	Hominiventricola_sp018223365(GB_GCA_018223365_1
ASV1192	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster_porci(RS_GCF_009696375_1
ASV1193	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Slackia	Slackia_isoflavoniconvertens(RS_GCF_003725955_1
ASV1194	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	NA
ASV1195	Bacteria	Bacillota_C	Negativicutes	Veillonellales	Dialisteraceae	Allisonella	Allisonella_histaminiformans(RS_GCF_900103425_1
ASV1196	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Scatomorpha	Scatomorpha_sp900752445(GB_GCA_900752445_1
ASV1197	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Evtepia	Evtepia_gabavorous(RS_GCF_003425665_1
ASV1198	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes_dispar(RS_GCF_006542685_1
ASV1199	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella	Hungatella_hathewayi(RS_GCF_025149285_1
ASV1200	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
ASV1201	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster_sp900541315(GB_GCA_025758065_1
ASV1202	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Vermiculatibacterium	NA
ASV1203	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	NA
ASV1204	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola_massiliensis(RS_GCF_000382445_1
ASV1205	Bacteria	Bacillota	Bacilli	MOL361	Turicibacteraceae	Turicibacter	Turicibacter_bilis(RS_GCF_024499055_1
ASV1206	Bacteria	Bacillota_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus_fermentans(RS_GCF_000025305_1
ASV1207	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS1623	UMGS1623_sp902492895(GB_GCA_902492895_1
ASV1208	Bacteria	Bacillota_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus_intestini(RS_GCF_000425045_1
ASV1209	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA
ASV1210	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	Barnesiella_intestinihominis(RS_GCF_000296465_1
ASV1211	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	NA	NA
ASV1212	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_nordii(GB_GCA_000613465_1
ASV1213	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes_shahii(RS_GCF_025145845_1
ASV1214	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA
ASV1215	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Avimonas	Avimonas_faecium(GB_GCA_904419005_1
ASV1216	Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium	NA
ASV1217	Bacteria	Bacillota_A	Clostridia	Oscillospirales	CAG-382	SFLA01	SFLA01_sp004553575(GB_GCA_004553575_1
ASV1218	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	HGM12789	HGM12789_sp900766585(GB_GCA_900766585_1
ASV1219	Bacteria	Synergistota	Synergistia	Synergistales	Dethiosulfovibrionaceae	Pyramidobacter	Pyramidobacter_piscolens(RS_GCF_000177335_1
ASV1220	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	Avimonas	Avimonas_merdigallinarum(GB_GCA_904377855_1
ASV1221	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanogingivalaceae	Nanogingivalis	Nanogingivalis_gingivitcus(RS_GCF_004151455_1
ASV1222	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter_faecalis(RS_GCF_018408705_1
ASV1223	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Coprobacillaceae	Catenibacterium	Catenibacterium_faecis(RS_GCF_014306455_1
ASV1224	Bacteria	NA	NA	NA	NA	NA	NA
ASV1225	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella_timonensis_A(RS_GCF_000762405_1
ASV1226	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Lentihominibacter	NA
ASV1227	Bacteria	Bacillota_A	Clostridia	Oscillospirales	NA	NA	NA
ASV1228	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Fumia	Fumia_xinanensis(RS_GCF_014384905_1
ASV1229	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_hominis(RS_GCF_014287585_1
ASV1230	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus	Negativibacillus_massiliensis(RS_GCF_900148495_1
ASV1231	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	SFTJ01	SFTJ01_sp004563195(GB_GCA_004563195_1
ASV1232	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Anaerotignaceae	NA	NA
ASV1233	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Frisingicoccus	Frisingicoccus_caecimuris(RS_GCF_004340975_1
ASV1234	Bacteria	Bacillota_A	Clostridia	Christensenellales	Aristaeellaceae	NA	NA
ASV1235	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola_dorei(RS_GCF_013009555_1
ASV1236	Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-314	Heteroclostridium	Heteroclostridium_caecigallinarum(GB_GCA_904419725_1
ASV1237	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum_hominis(RS_GCF_014288055_1
ASV1238	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	Agathobaculum_butyriciproducens(GB_GCA_003096535_1
ASV1239	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Eggerthella	Eggerthella_lenta(RS_GCF_000024265_1
ASV1240	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Coprobacteraceae	Coprobacter	Coprobacter_fastidiosus(RS_GCF_030296935_1
ASV1241	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella_brunnea(RS_GCF_008016795_1
ASV1242	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola_massiliensis(RS_GCF_000382445_1
ASV1243	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
ASV1244	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	NA	NA
ASV1245	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Otoolea	Otoolea_symbiosa(RS_GCF_000466485_1
ASV1246	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	NA	NA
ASV1247	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	NA
ASV1248	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	NA
ASV1249	Bacteria	Bacillota_A	Clostridia	TANB77	CAG-508	CAG-273	CAG-273_sp946499885(GB_GCA_946499885_1
ASV1250	Bacteria	Bacillota_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	CAG-266	CAG-266_sp905207485(GB_GCA_905207485_1
ASV1251	Bacteria	Bacillota_A	Clostridia	Christensenellales	Borkfalkiaceae	UBA1259	UBA1259_sp023403375(GB_GCA_023403375_1
ASV1252	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Otoolea	Otoolea_symbiosa(RS_GCF_000466485_1
ASV1253	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Lentihominibacter	NA
ASV1254	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ASV1255	Bacteria	NA	NA	NA	NA	NA	NA
ASV1256	NA	NA	NA	NA	NA	NA	NA
ASV1257	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_F	Ruminococcus_F_champanellensis(RS_GCF_000210095_1
ASV1258	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_ovatus(RS_GCF_001314995_1
ASV1259	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA1258	UBA1258_sp024687305(GB_GCA_024687305_1
ASV1260	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	NA
ASV1261	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-557	CAG-557_sp949068525(GB_GCA_949068525_1
ASV1262	Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-138	NA	NA
ASV1263	Bacteria	Bacillota_A	Clostridia	Oscillospirales	NA	NA	NA
ASV1264	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas_asaccharolytica(RS_GCF_000212375_1
ASV1265	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_mucosae(RS_GCF_001436025_1
ASV1266	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium_B	Lachnoclostridium_B_massiliensis_A(RS_GCF_016901695_1
ASV1267	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum_sp003150235(GB_GCA_003150235_1
ASV1268	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella	Hungatella_hathewayi(RS_GCF_025149285_1
ASV1269	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	Eisenbergiella_porci(RS_GCF_009696275_1
ASV1270	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	NA	NA
ASV1271	Bacteria	Bacillota_A	Clostridia	Christensenellales	Christensenellaceae	HGM11616	HGM11616_sp934373295(GB_GCA_934373295_1
ASV1272	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	Blautia_sp000432195(GB_GCA_902363515_1
ASV1273	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea_formicigenerans(RS_GCF_025150245_1
ASV1274	Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-314	Heteroclostridium	Heteroclostridium_caecigallinarum(GB_GCA_904419725_1
ASV1275	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Merdivicinus	Merdivicinus_intestinigallinarum(GB_GCA_018713335_1
ASV1276	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus_mucosae(RS_GCF_001436025_1
ASV1277	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter_rectalis(RS_GCF_000020605_1
ASV1278	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
ASV1279	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes_dispar(RS_GCF_006542685_1
ASV1280	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Erysipelotrichaceae	Merdibacter	Merdibacter_massiliensis(RS_GCF_900155395_1
ASV1281	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_ovatus(RS_GCF_001314995_1
ASV1282	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	CAG-238	CAG-238_sp900542245(GB_GCA_900542245_1
ASV1283	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	Butyricicoccus_sp900547195(GB_GCA_900547195_1
ASV1284	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	Bulleidia_sp937910655(GB_GCA_937910655_1
ASV1285	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	Victivallis	Victivallis_sp900550905(GB_GCA_022009855_1
ASV1286	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus	Negativibacillus_massiliensis(RS_GCF_900148495_1
ASV1287	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA
ASV1288	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
ASV1289	Bacteria	Bacillota_I	Bacilli_A	RF39	UBA660	RUG705	RUG705_sp905188025(GB_GCA_905188025_1
ASV1290	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
ASV1291	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_G	Eubacterium_G_sp000435815(RS_GCF_003460505_1
ASV1292	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus_ruminis(RS_GCF_900113455_1
ASV1293	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Anaerotignaceae	NA	NA
ASV1294	Bacteria	Bacillota_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	CAG-266	CAG-266_sp905207485(GB_GCA_905207485_1
ASV1295	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter_rectalis(RS_GCF_000020605_1
ASV1296	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS1623	UMGS1623_sp902492895(GB_GCA_902492895_1
ASV1297	Bacteria	Bacillota_C	Negativicutes	Veillonellales	Megasphaeraceae	Anaeroglobus	Anaeroglobus_micronuciformis(RS_GCF_000165735_1
ASV1298	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	NA
ASV1299	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	AF33-28	AF33-28_sp003477885(RS_GCF_003477885_1
ASV1300	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Lentihominibacter	Lentihominibacter_hominis(RS_GCF_014385065_1
ASV1301	Bacteria	Bacillota_A	Clostridia	Christensenellales	Christensenellaceae	NA	NA
ASV1302	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_goldsteinii(RS_GCF_000969835_1
ASV1303	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Hominiventricola	Hominiventricola_sp018223365(GB_GCA_018223365_1
ASV1304	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA
ASV1305	Bacteria	Bacillota_A	Clostridia	Christensenellales	Aristaeellaceae	NA	NA
ASV1306	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-170	CAG-170_sp900549635(GB_GCA_916988195_3
ASV1307	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Paraprevotella	NA
ASV1308	Bacteria	Bacillota_C	Negativicutes	Veillonellales	Dialisteraceae	Dialister	NA
ASV1309	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Parasutterella	NA
ASV1310	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Erysipelotrichaceae	Merdibacter	Merdibacter_massiliensis(RS_GCF_900155395_1
ASV1311	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Anaerotignaceae	Anaerotignum	Anaerotignum_lactatifermentans(RS_GCF_900142265_1
ASV1312	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	NA
ASV1313	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
ASV1314	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Alloprevotella	Alloprevotella_sp004558535(GB_GCA_004558535_1
ASV1315	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Lentihominibacter	NA
ASV1316	Bacteria	Bacillota_A	Clostridia	Christensenellales	CAG-138	NA	NA
ASV1317	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter_sp934504065(GB_GCA_934504065_1
ASV1318	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
ASV1319	Bacteria	Bacillota_B	Dehalobacteriia	Dehalobacteriales	Dehalobacteriaceae	Formimonas	Formimonas_warabiya(RS_GCF_002777255_1
ASV1320	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola_vulgatus(RS_GCF_000012825_1
ASV1321	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA
ASV1322	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	NA
ASV1323	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Youxingia	Youxingia_wuxianensis(RS_GCF_014385085_1
ASV1324	Bacteria	Bacillota_A	Clostridia	Christensenellales	Aristaeellaceae	Aristaeella	NA
ASV1325	Bacteria	NA	NA	NA	NA	NA	NA
ASV1326	Bacteria	Bacillota_A	Clostridia	Christensenellales	Pumilibacteraceae	Pumilibacter	NA
ASV1327	Bacteria	Bacillota_C	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister_succinatiphilus(RS_GCF_000242435_1
ASV1328	Bacteria	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium_X	Clostridium_X_cadaveris(RS_GCF_020911725_1
ASV1329	Bacteria	Bacillota_A	Clostridia	Tissierellales	Peptoniphilaceae	Fenollaria	Fenollaria_timonensis(RS_GCF_001457835_1
ASV1330	Bacteria	Bacillota_A	Clostridia	Oscillospirales	CAG-272	NA	NA
ASV1331	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_clarus(RS_GCF_900129655_1
ASV1332	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA
ASV1333	Bacteria	Bacillota_A	Clostridia	Christensenellales	Aristaeellaceae	Aristaeella	NA
ASV1334	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	CAG-312	Merdousia	Merdousia_sp003343565(GB_GCA_003343565_1
ASV1335	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA
ASV1336	Bacteria	Bacillota_B	Peptococcia	Peptococcales	Peptococcaceae	UBA7185	UBA7185_sp900756555(GB_GCA_900756555_1
ASV1337	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster_porci(RS_GCF_009696375_1
ASV1338	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Eggerthella	Eggerthella_lenta(RS_GCF_000024265_1
ASV1339	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
ASV1340	Bacteria	Bacillota_A	Clostridia	Christensenellales	Aristaeellaceae	NA	NA
ASV1341	Bacteria	Cyanobacteriota	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	UBA2883	UBA2883_sp002481545(GB_GCA_002481545_1
ASV1342	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella_buccae(RS_GCF_000184945_1
ASV1343	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_hominis(RS_GCF_014287585_1
ASV1344	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Erysipelotrichaceae	Holdemania	Holdemania_massiliensis(RS_GCF_000327285_1
ASV1345	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_nordii(GB_GCA_000613465_1
ASV1346	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus_D	NA
ASV1347	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	Dysosmobacter_sp934504065(GB_GCA_934504065_1
ASV1348	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_salyersiae(RS_GCF_000381365_1
ASV1349	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerosporobacter	Anaerosporobacter_faecicola(RS_GCF_012070565_1
ASV1350	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Erysipelotrichaceae	Dielma	Dielma_fastidiosa(RS_GCF_000313565_1
ASV1351	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	Eisenbergiella_porci(RS_GCF_009696275_1
ASV1352	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Pseudoflavonifractor	Pseudoflavonifractor_faecis(RS_GCF_014287675_1
ASV1353	Bacteria	Bacillota_A	Clostridia	Christensenellales	Aristaeellaceae	NA	NA
ASV1354	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	NA
ASV1355	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Enterenecus	Enterenecus_sp002161235(RS_GCF_002161235_1
ASV1356	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	NA
ASV1357	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Cloacibacillus	Cloacibacillus_evryensis(RS_GCF_000585335_1
ASV1358	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_distasonis(RS_GCF_000012845_1
ASV1359	Bacteria	Bacillota_A	Clostridia	Christensenellales	Aristaeellaceae	Aristaeella	NA
ASV1360	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Hafnia	Hafnia_paralvei(RS_GCF_001655005_1
ASV1361	Bacteria	NA	NA	NA	NA	NA	NA
ASV1362	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Alitiscatomonas	NA
ASV1363	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Lentihominibacter	Lentihominibacter_faecis(RS_GCF_014306095_1
ASV1364	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes_senegalensis(RS_GCF_025145645_1
ASV1365	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Oscillospiraceae	Vescimonas	Vescimonas_sp900545585(GB_GCA_900545585_1
ASV1366	Bacteria	NA	NA	NA	NA	NA	NA
ASV1367	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	NA	NA
ASV1368	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Negativibacillus	Negativibacillus_massiliensis(RS_GCF_900148495_1
ASV1369	Bacteria	Bacillota_A	Clostridia	Christensenellales	NA	NA	NA
ASV1370	Bacteria	Bacillota_A	Clostridia	Christensenellales	SZUA-584	JAEWCC01	JAEWCC01_sp023459495(GB_GCA_023459495_1
ASV1371	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Paraprevotella	NA
ASV1372	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Gallintestinimicrobium	Gallintestinimicrobium_propionicum(RS_GCF_025567525_1
ASV1373	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Coprobacillaceae	Thomasclavelia	Thomasclavelia_spiroformis(RS_GCF_025149465_1
ASV1374	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio_piger_A(RS_GCF_900116045_1
ASV1375	Bacteria	Bacillota_A	Clostridia	Christensenellales	Pumilibacteraceae	Pumilibacter	NA
ASV1376	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	SFTJ01	SFTJ01_sp004563195(GB_GCA_004563195_1
ASV1377	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	NA	NA
