Species,coef,pval,qval
Pseudodesulfovibrio.portus,-2.106740901,4.56E-09,1.28E-05
Paenibacillus.sp..FSL.R7.0272,-2.106740901,4.56E-09,1.28E-05
Pirellula.staleyi,-2.106740901,4.56E-09,1.28E-05
Streptomyces.decoyicus,-2.106740901,4.56E-09,1.28E-05
Parabacteroides.goldsteinii,-2.106740901,4.56E-09,1.28E-05
Petrimonas.mucosa,-2.106740901,4.56E-09,1.28E-05
Prevotella.histicola,-2.106740901,4.56E-09,1.28E-05
Bacteroides.salyersiae,-2.106740901,4.56E-09,1.28E-05
Spirosoma.aerolatum,-2.106740901,4.56E-09,1.28E-05
Corynebacterium.ureicelerivorans,-2.106740901,4.56E-09,1.28E-05
uncultured.Methanocorpusculum.sp.,-2.106740901,4.56E-09,1.28E-05
Hydrogenophaga.taeniospiralis,-2.106740901,4.56E-09,1.28E-05
Hymenobacter.oligotrophus,-2.106740901,4.56E-09,1.28E-05
Egibacter.rhizosphaerae,-2.106740901,4.56E-09,1.28E-05
Owenweeksia.hongkongensis,-2.106740901,4.56E-09,1.28E-05
Janibacter.limosus,-2.106740901,4.56E-09,1.28E-05
Thalassobaculum.sp..OXR.137,-2.106740901,4.56E-09,1.28E-05
Streptomyces.zaomyceticus,-2.106740901,4.56E-09,1.28E-05
Olsenella.sp..oral.taxon.807,-2.106740901,4.56E-09,1.28E-05
Parabacteroides.johnsonii,-2.106740901,4.56E-09,1.28E-05
Pararoseomonas.sp..SCSIO.73927,-2.106740901,4.56E-09,1.28E-05
Thermococcus.thioreducens,-2.106740901,4.56E-09,1.28E-05
Geothrix.sp..21YS21S.4,-2.106740901,4.56E-09,1.28E-05
Rhodococcus.opacus,-2.106740901,4.56E-09,1.28E-05
Vibrio.echinoideorum,-2.106740901,4.56E-09,1.28E-05
Bradyrhizobium.sp..CB82,-2.106740901,4.56E-09,1.28E-05
Nonlabens.sp..Hel1_33_55,-2.106740901,4.56E-09,1.28E-05
Pseudomonas.mosselii,-2.106740901,4.56E-09,1.28E-05
Elizabethkingia.ursingii,-2.106740901,4.56E-09,1.28E-05
Marinilongibacter.aquaticus,-2.106740901,4.56E-09,1.28E-05
Pseudomonas.taetrolens,-2.106740901,4.56E-09,1.28E-05
Alistipes.indistinctus,-2.106740901,4.56E-09,1.28E-05
Megasphaera.massiliensis,-2.106740901,4.56E-09,1.28E-05
Acidipropionibacterium.acidipropionici,-2.106740901,4.56E-09,1.28E-05
Vulgatibacter.incomptus,-2.106740901,4.56E-09,1.28E-05
Ligilactobacillus.faecis,-2.106740901,4.56E-09,1.28E-05
Billgrantia.tianxiuensis,-2.106740901,4.56E-09,1.28E-05
endosymbiont..TC1..of.Trimyema.compressum,-2.106740901,4.56E-09,1.28E-05
Hymenobacter.sp..YIM.151858.1,-2.106740901,4.56E-09,1.28E-05
Lentibacillus.sp..CBA3610,-2.106740901,4.56E-09,1.28E-05
Erysipelothrix.inopinata,-2.106740901,4.56E-09,1.28E-05
Geobacter.sp..DSM.9736,-2.106740901,4.56E-09,1.28E-05
Geothrix.sp.,-2.106740901,4.56E-09,1.28E-05
Amedibacterium.intestinale,-2.106740901,4.56E-09,1.28E-05
Paenibacillus.sp..FSL.K6.3182,-2.106740901,4.56E-09,1.28E-05
Alicyclobacillus.dauci,-2.106740901,4.56E-09,1.28E-05
Sphingomonas.sp..NY01,-2.106740901,4.56E-09,1.28E-05
Streptomyces.sp..NBC_01429,-2.106740901,4.56E-09,1.28E-05
uncultured.Paludibaculum.sp.,-2.106740901,4.56E-09,1.28E-05
Escherichia.coli,-2.106740901,4.56E-09,1.28E-05
Bacillus.pseudomycoides,-2.106740901,4.56E-09,1.28E-05
Gottfriedia.acidiceleris,-2.106740901,4.56E-09,1.28E-05
Flammeovirga.sp..MY04,-2.106740901,4.56E-09,1.28E-05
Rhizorhabdus.dicambivorans,-2.106740901,4.56E-09,1.28E-05
Hymenobacter.sublimis,-2.106740901,4.56E-09,1.28E-05
Parasphaerochaeta.coccoides,-2.106740901,4.56E-09,1.28E-05
Microlunatus.sp..Gsoil.973,-2.106740901,4.56E-09,1.28E-05
Prevotella.bivia,-2.106740901,4.56E-09,1.28E-05
Caulobacter.segnis,-2.106740901,4.56E-09,1.28E-05
Alteromonas.sp..RKMC.009,-2.106740901,4.56E-09,1.28E-05
Intestinibacter.bartlettii,-2.106740901,4.56E-09,1.28E-05
Veillonella.parvula,-2.106740901,4.56E-09,1.28E-05
Sphingobacterium.sp..ML3W,-2.106740901,4.56E-09,1.28E-05
Turicibacter.sp..KK003,-2.106740901,4.56E-09,1.28E-05
Bacteroides.zoogleoformans,-2.106740901,4.56E-09,1.28E-05
Croceibacter.atlanticus,-2.106740901,4.56E-09,1.28E-05
Streptomyces.sp..NHF165,-2.106740901,4.56E-09,1.28E-05
Weissella.diestrammenae,-2.106740901,4.56E-09,1.28E-05
Pectinatus.frisingensis,-2.106740901,4.56E-09,1.28E-05
Bacteroides.sp..DH3716P,-2.106740901,4.56E-09,1.28E-05
Sphingobium.sp..SCG.1,-2.106740901,4.56E-09,1.28E-05
Chlorobaculum.limnaeum,-2.106740901,4.56E-09,1.28E-05
Burkholderia.cepacia,-2.106740901,4.56E-09,1.28E-05
Parabacteroides.sp..CT06,-2.106740901,4.56E-09,1.28E-05
Candidatus.Korobacter.versatilis,-2.106740901,4.56E-09,1.28E-05
Flaviflexus.salsibiostraticola,-2.106740901,4.56E-09,1.28E-05
Streptomyces.chartreusis,-2.106740901,4.56E-09,1.28E-05
Spirosoma.taeanense,-2.106740901,4.56E-09,1.28E-05
Saprospira.grandis,-2.106740901,4.56E-09,1.28E-05
Prevotella.veroralis,-2.106740901,4.56E-09,1.28E-05
Prevotella.corporis,-2.106740901,4.56E-09,1.28E-05
Cruoricaptor.ignavus,-2.106740901,4.56E-09,1.28E-05
Lactobacillus.taiwanensis,-2.106740901,4.56E-09,1.28E-05
Spirosoma.montaniterrae,-2.106740901,4.56E-09,1.28E-05
Fibrella.aestuarina,-2.106740901,4.56E-09,1.28E-05
Corynebacterium.sp..SCR221107,-2.106740901,4.56E-09,1.28E-05
Halomonas.elongata,-2.106740901,4.56E-09,1.28E-05
Leptotrichia.hofstadii,-2.106740901,4.56E-09,1.28E-05
Hippea.maritima,-2.106740901,4.56E-09,1.28E-05
Bradyrhizobium.sp..200,-2.106740901,4.56E-09,1.28E-05
Bacteroides.caecimuris,-2.106740901,4.56E-09,1.28E-05
Nostoc.sp..UHCC.0302,-2.106740901,4.56E-09,1.28E-05
Bacillus.atrophaeus,-2.106740901,4.56E-09,1.28E-05
Flagellimonas.ruestringensis,-2.106740901,4.56E-09,1.28E-05
Chryseobacterium.sp..6424,-2.106740901,4.56E-09,1.28E-05
Arachidicoccus.ginsenosidivorans,-2.106740901,4.56E-09,1.28E-05
Thiorhodovibrio.litoralis,-2.106740901,4.56E-09,1.28E-05
Alkaliphilus.sp..B6464,-2.106740901,4.56E-09,1.28E-05
Clostridium.botulinum,-2.106740901,4.56E-09,1.28E-05
Tannerella.forsythia,-2.106740901,4.56E-09,1.28E-05
Herbaspirillum.sp..WKF16,-2.106740901,4.56E-09,1.28E-05
Leclercia.adecarboxylata,-2.106740901,4.56E-09,1.28E-05
Halopseudomonas.litoralis,-2.106740901,4.56E-09,1.28E-05
Desulfurispirillum.indicum,-2.106740901,4.56E-09,1.28E-05
Capillimicrobium.parvum,-2.106740901,4.56E-09,1.28E-05
Candidatus.Tisiphia.endosymbiont.of.Beris.chalybata,-2.106740901,4.56E-09,1.28E-05
Pontibacter.korlensis,-2.106740901,4.56E-09,1.28E-05
Chryseobacterium.camelliae,-2.106740901,4.56E-09,1.28E-05
Granulicella.tundricola,-2.106740901,4.56E-09,1.28E-05
Spirosoma.pollinicola,-2.106740901,4.56E-09,1.28E-05
Alicyclobacillus.sp..ALC3,-2.106740901,4.56E-09,1.28E-05
Gemmatimonas.aurantiaca,-2.106740901,4.56E-09,1.28E-05
Barnesiella.viscericola,-2.106740901,4.56E-09,1.28E-05
Bifidobacterium.adolescentis,-2.106740901,4.56E-09,1.28E-05
Pirellulimonas.nuda,-2.106740901,4.56E-09,1.28E-05
Halanaerobium.praevalens,-2.106740901,4.56E-09,1.28E-05
Symbiobacterium.thermophilum,-2.106740901,4.56E-09,1.28E-05
Corynebacterium.singulare,-2.106740901,4.56E-09,1.28E-05
Koleobacter.methoxysyntrophicus,-2.106740901,4.56E-09,1.28E-05
Pseudomonas.sp..FP453,-2.106740901,4.56E-09,1.28E-05
Luteitalea.pratensis,-2.106740901,4.56E-09,1.28E-05
Pararhizobium.sp..YC.54,-2.106740901,4.56E-09,1.28E-05
Peptoniphilus.ivorii,-2.106740901,4.56E-09,1.28E-05
Caulobacter.flavus,-2.106740901,4.56E-09,1.28E-05
Bifidobacterium.angulatum,-2.106740901,4.56E-09,1.28E-05
Paenibacillus.sp..PK3_47,-2.106740901,4.56E-09,1.28E-05
Paenibacillus.sp..D2_2,-2.106740901,4.56E-09,1.28E-05
Bacteroides.graminisolvens,-2.106740901,4.56E-09,1.28E-05
Ruminococcus.albus,-2.106740901,4.56E-09,1.28E-05
Pedobacter.gandavensis,-2.106740901,4.56E-09,1.28E-05
Parasphingorhabdus.halotolerans,-2.106740901,4.56E-09,1.28E-05
Helicobacter.hepaticus,-2.106740901,4.56E-09,1.28E-05
Bifidobacterium.pseudocatenulatum,-2.106740901,4.56E-09,1.28E-05
Capnocytophaga.canimorsus,-2.106740901,4.56E-09,1.28E-05
Pseudarthrobacter.phenanthrenivorans,-2.106740901,4.56E-09,1.28E-05
Acidithiobacillus.thiooxidans,-2.106740901,4.56E-09,1.28E-05
Microbulbifer.sp..YPW1,-2.106740901,4.56E-09,1.28E-05
Pseudomonas.argentinensis,-2.106740901,4.56E-09,1.28E-05
Pseudonocardia.sp..DSM.110487,-2.106740901,4.56E-09,1.28E-05
Helicobacter.typhlonius,-2.106740901,4.56E-09,1.28E-05
Vibrio.chagasii,-2.106740901,4.56E-09,1.28E-05
Brochothrix.thermosphacta,-2.106740901,4.56E-09,1.28E-05
uncultured.Marinifilum.sp.,-2.106740901,4.56E-09,1.28E-05
Amycolatopsis.acidiphila,-2.106740901,4.56E-09,1.28E-05
Mariprofundus.ferrinatatus,-2.106740901,4.56E-09,1.28E-05
Salinispira.pacifica,-2.106740901,4.56E-09,1.28E-05
Pseudarthrobacter.sp..NS4,-2.106740901,4.56E-09,1.28E-05
Alcanivorax.sp.,-2.106740901,4.56E-09,1.28E-05
Clostridium.pasteurianum,-2.106740901,4.56E-09,1.28E-05
Nocardioides.panacis,-2.106740901,4.56E-09,1.28E-05
Bdellovibrio.bacteriovorus,-2.106740901,4.56E-09,1.28E-05
Segatella.oris,-2.106740901,4.56E-09,1.28E-05
Paenibacillus.sp..FSL.R7.0331,-2.106740901,4.56E-09,1.28E-05
Methyloceanibacter.caenitepidi,-2.106740901,4.56E-09,1.28E-05
Paraflavitalea.soli,-2.106740901,4.56E-09,1.28E-05
Blastopirellula.sp..J2.11,-2.106740901,4.56E-09,1.28E-05
Nannocystis.poenicansa,-2.106740901,4.56E-09,1.28E-05
Kangiella.profundi,-2.106740901,4.56E-09,1.28E-05
Leptospira.noguchii,-2.106740901,4.56E-09,1.28E-05
Bacteroides.faecis,-2.106740901,4.56E-09,1.28E-05
Echinicola.vietnamensis,-2.106740901,4.56E-09,1.28E-05
Bifidobacterium.choerinum,-2.106740901,4.56E-09,1.28E-05
Helicobacter.mastomyrinus,-2.106740901,4.56E-09,1.28E-05
Pseudocnuella.soli,-2.106740901,4.56E-09,1.28E-05
Brevundimonas.sp..PAMC22021,-2.106740901,4.56E-09,1.28E-05
Coriobacterium.glomerans,-2.106740901,4.56E-09,1.28E-05
Denitrobacterium.detoxificans,-2.106740901,4.56E-09,1.28E-05
uncultured.Carboxylicivirga.sp.,-2.106740901,4.56E-09,1.28E-05
Janthinobacterium.sp..Marseille,-2.106740901,4.56E-09,1.28E-05
Melioribacter.roseus,-2.106740901,4.56E-09,1.28E-05
Robiginitalea.biformata,-2.106740901,4.56E-09,1.28E-05
Janthinobacterium.sp..J1.1,-2.106740901,4.56E-09,1.28E-05
Lacibacter.sediminis,-2.106740901,4.56E-09,1.28E-05
Paenibacillus.sp..JNUCC.31,-2.106740901,4.56E-09,1.28E-05
Lactococcus.cremoris,-2.106740901,4.56E-09,1.28E-05
Candidatus.Ornithobacterium.hominis,-2.106740901,4.56E-09,1.28E-05
Marnyiella.aurantia,-2.106740901,4.56E-09,1.28E-05
Aquisphaera.giovannonii,-2.106740901,4.56E-09,1.28E-05
Parabacteroides.merdae,-2.106740901,4.56E-09,1.28E-05
Flavobacterium.alkalisoli,-2.106740901,4.56E-09,1.28E-05
Xenorhabdus.doucetiae,-2.106740901,4.56E-09,1.28E-05
Desulfomarina.profundi,-2.106740901,4.56E-09,1.28E-05
Amygdalobacter.indicium,-2.106740901,4.56E-09,1.28E-05
Berryella.wangjianweii,-2.106740901,4.56E-09,1.28E-05
Gemella.sp..zg.570,-2.106740901,4.56E-09,1.28E-05
Mesorhizobium.japonicum,-2.106740901,4.56E-09,1.28E-05
Gephyromycinifex.aptenodytis,-2.106740901,4.56E-09,1.28E-05
Petrimonas.sp.,-2.106740901,4.56E-09,1.28E-05
Alkalihalobacillus.sp..LMS39,-2.106740901,4.56E-09,1.28E-05
Berryella.intestinalis,-2.106740901,4.56E-09,1.28E-05
Bacteroides.faecium,-2.106740901,4.56E-09,1.28E-05
Blattabacterium.cuenoti,-2.106740901,4.56E-09,1.28E-05
Phoenicibacter.congonensis,-2.106740901,4.56E-09,1.28E-05
Butyricimonas.faecalis,-2.106740901,4.56E-09,1.28E-05
Leptolyngbya.sp..BL0902,-2.106740901,4.56E-09,1.28E-05
Nocardioides.sp..dk884,-2.106740901,4.56E-09,1.28E-05
Pelodictyon.phaeoclathratiforme,-2.106740901,4.56E-09,1.28E-05
Termitidicoccus.mucosus,-2.106740901,4.56E-09,1.28E-05
Agrobacterium.pusense,-2.106740901,4.56E-09,1.28E-05
Burkholderia.plantarii,-2.106740901,4.56E-09,1.28E-05
Catenibacterium.sp..co_0103,-2.106740901,4.56E-09,1.28E-05
Bifidobacterium.pseudolongum,-2.106740901,4.56E-09,1.28E-05
Sulfitobacter.faviae,-2.106740901,4.56E-09,1.28E-05
Priestia.megaterium,-2.106740901,4.56E-09,1.28E-05
Denitratisoma.oestradiolicum,-2.106740901,4.56E-09,1.28E-05
Shewanella.litorisediminis,-2.106740901,4.56E-09,1.28E-05
Azospirillum.thermophilum,-2.106740901,4.56E-09,1.28E-05
Legionella.sainthelensi,-2.106740901,4.56E-09,1.28E-05
Microlunatus.sagamiharensis,-2.106740901,4.56E-09,1.28E-05
Ligilactobacillus.animalis,-2.106740901,4.56E-09,1.28E-05
Dehalobacter.sp..DCM,-2.106740901,4.56E-09,1.28E-05
Ruficoccus.sp..ZRK36,-2.106740901,4.56E-09,1.28E-05
Bifidobacterium.catenulatum,-2.106740901,4.56E-09,1.28E-05
Flagellimonas.marinaquae,-2.106740901,4.56E-09,1.28E-05
Phnomibacter.ginsenosidimutans,-2.106740901,4.56E-09,1.28E-05
Paenibacillus.sp..FSL.R7.0273,-2.106740901,4.56E-09,1.28E-05
Caminicella.sporogenes,-2.106740901,4.56E-09,1.28E-05
Chromobacterium.vaccinii,-2.106740901,4.56E-09,1.28E-05
uncultured.Methanobacterium.sp.,-2.106740901,4.56E-09,1.28E-05
Flavobacterium.sp..SLB02,-2.106740901,4.56E-09,1.28E-05
Asticcacaulis.sp..ZE23SCel15,-2.106740901,4.56E-09,1.28E-05
Cellulomonas.sp..ES6,-2.106740901,4.56E-09,1.28E-05
Defluviicoccus.vanus,-2.106740901,4.56E-09,1.28E-05
Aquabacter.sp..L1I39,-2.106740901,4.56E-09,1.28E-05
Cellulosimicrobium.cellulans,-2.106740901,4.56E-09,1.28E-05
Blochmannia.endosymbiont.of.Camponotus.nipponensis,-2.106740901,4.56E-09,1.28E-05
Paludibaculum.fermentans,-2.106740901,4.56E-09,1.28E-05
Parasphingorhabdus.cellanae,-2.106740901,4.56E-09,1.28E-05
Gordonia.polyisoprenivorans,-2.106740901,4.56E-09,1.28E-05
Fulvivirga.maritima,-2.106740901,4.56E-09,1.28E-05
Sulfurospirillum.sp..1612,-2.106740901,4.56E-09,1.28E-05
Spirosoma.rhododendri,-2.106740901,4.56E-09,1.28E-05
uncultured.Trichococcus.sp.,-2.106740901,4.56E-09,1.28E-05
Chromohalobacter.canadensis,-2.106740901,4.56E-09,1.28E-05
Methylococcus.capsulatus,-2.106740901,4.56E-09,1.28E-05
Clostridium.formicaceticum,-2.106740901,4.56E-09,1.28E-05
Cutibacterium.avidum,-2.106740901,4.56E-09,1.28E-05
Kytococcus.sedentarius,-2.106740901,4.56E-09,1.28E-05
Flagellatimonas.centrodinii,-2.106740901,4.56E-09,1.28E-05
Pseudoxanthomonas.suwonensis,-2.106740901,4.56E-09,1.28E-05
Sedimentisphaera.salicampi,-2.106740901,4.56E-09,1.28E-05
Paracoccus.albus,-2.106740901,4.56E-09,1.28E-05
Flavobacterium.pectinovorum,-2.106740901,4.56E-09,1.28E-05
Devosia.sp..A16,-2.106740901,4.56E-09,1.28E-05
Micromonospora.sp..WMMD1128,-2.106740901,4.56E-09,1.28E-05
Desulfosarcina.widdelii,-2.106740901,4.56E-09,1.28E-05
Gimesia.alba,-2.106740901,4.56E-09,1.28E-05
Staphylococcus.pettenkoferi,-2.106740901,4.56E-09,1.28E-05
Streptomyces.sp..NBC_01476,-2.106740901,4.56E-09,1.28E-05
Lactobacillus.paragasseri,-2.106740901,4.56E-09,1.28E-05
Mucilaginibacter.sp..14171R.50,-2.106740901,4.56E-09,1.28E-05
Prevotella.multiformis,-2.106740901,4.56E-09,1.28E-05
Sphaerotilus.sulfidivorans,-2.106740901,4.56E-09,1.28E-05
Nocardioides.sp..NBC_00368,-2.106740901,4.56E-09,1.28E-05
Kaistella.polysaccharea,-2.106740901,4.56E-09,1.28E-05
Bifidobacterium.animalis,-2.106740901,4.56E-09,1.28E-05
Eikenella.exigua,-2.106740901,4.56E-09,1.28E-05
Echinicola.soli,-2.106740901,4.56E-09,1.28E-05
Turicimonas.muris,-2.106740901,4.56E-09,1.28E-05
Actomonas.aquatica,-2.106740901,4.56E-09,1.28E-05
Tannockella.kyphosi,-2.106740901,4.56E-09,1.28E-05
Candidatus.Chlorohelix.allophototropha,-2.106740901,4.56E-09,1.28E-05
Candidatus.Thioglobus.autotrophicus,-2.106740901,4.56E-09,1.28E-05
Paraglaciecola.sp..T6c,-2.106740901,4.56E-09,1.28E-05
Akkermansia.glycaniphila,-2.106740901,4.56E-09,1.28E-05
Kiritimatiella.glycovorans,-2.106740901,4.56E-09,1.28E-05
Nitratireductor.sp..OM.1,-2.106740901,4.56E-09,1.28E-05
Megalodesulfovibrio.gigas,-2.106740901,4.56E-09,1.28E-05
Janthinobacterium.agaricidamnosum,-2.106740901,4.56E-09,1.28E-05
Corynebacterium.sphenisci,-2.106740901,4.56E-09,1.28E-05
Deinococcus.ficus,-2.106740901,4.56E-09,1.28E-05
Oxalobacter.vibrioformis,-2.106740901,4.56E-09,1.28E-05
Corynebacterium.striatum,-2.106740901,4.56E-09,1.28E-05
Corynebacterium.argentoratense,-2.106740901,4.56E-09,1.28E-05
Fibrobacter.succinogenes,-2.106740901,4.56E-09,1.28E-05
Akkermansia.sp..N21116,-2.106740901,4.56E-09,1.28E-05
Saccharopolyspora.erythraea,-2.106740901,4.56E-09,1.28E-05
uncultured.Desulfuromusa.sp.,-2.106740901,4.56E-09,1.28E-05
Hymenobacter.cellulosivorans,-2.106740901,4.56E-09,1.28E-05
Paraclostridium.bifermentans,-2.106740901,4.56E-09,1.28E-05
Lysobacter.sp..CW239,-2.106740901,4.56E-09,1.28E-05
Campylobacter.sp..CCUG.57310,-2.106740901,4.56E-09,1.28E-05
Sulfurospirillum.sp..UCH001,-2.106740901,4.56E-09,1.28E-05
Pseudoroseomonas.cervicalis,-2.106740901,4.56E-09,1.28E-05
Pontibacter.sp..SGAir0037,-2.106740901,4.56E-09,1.28E-05
Paracoccus.jeotgali,-2.106740901,4.56E-09,1.28E-05
Staphylococcus.epidermidis,-2.106740901,4.56E-09,1.28E-05
Sporosarcina.sp..FSL.K6.1522,-2.106740901,4.56E-09,1.28E-05
Turicibacter.sanguinis,-2.106740901,4.56E-09,1.28E-05
Persicimonas.caeni,-2.106740901,4.56E-09,1.28E-05
Lactobacillus.sp..ESL0677,-2.106740901,4.56E-09,1.28E-05
Pedobacter.riviphilus,-2.106740901,4.56E-09,1.28E-05
Bifidobacterium.sp..ESL0728,-2.106740901,4.56E-09,1.28E-05
Agrobacterium.larrymoorei,-2.106740901,4.56E-09,1.28E-05
Ilyobacter.polytropus,-2.106740901,4.56E-09,1.28E-05
Aquitalea.magnusonii,-2.106740901,4.56E-09,1.28E-05
Ornithinimicrobium.sp..INDO.MA30.4,-2.106740901,4.56E-09,1.28E-05
Ligilactobacillus.murinus,-2.106740901,4.56E-09,1.28E-05
Actinomyces.wuliandei,-2.106740901,4.56E-09,1.28E-05
Chitinophaga.sp..LS1,-2.106740901,4.56E-09,1.28E-05
Bradyrhizobium.lablabi,-2.106740901,4.56E-09,1.28E-05
uncultured.Draconibacterium.sp.,-2.106740901,4.56E-09,1.28E-05
Porphyrobacter.sp..YT40,-2.106740901,4.56E-09,1.28E-05
Candidatus.Haliotispira.prima,-2.106740901,4.56E-09,1.28E-05
Paenibacillus.dendritiformis,-2.106740901,4.56E-09,1.28E-05
Novosphingopyxis.iocasae,-2.106740901,4.56E-09,1.28E-05
Cellulomonas.sp..S1.8,-2.106740901,4.56E-09,1.28E-05
Methylorubrum.extorquens,-2.106740901,4.56E-09,1.28E-05
Sphingobium.sp..KCTC.72723,-2.106740901,4.56E-09,1.28E-05
Faecalibacillus.intestinalis,-2.106740901,4.56E-09,1.28E-05
Methylocystis.bryophila,-2.106740901,4.56E-09,1.28E-05
Aureimonas.altamirensis,-2.106740901,4.56E-09,1.28E-05
Globicatella.sanguinis,-2.106740901,4.56E-09,1.28E-05
Cronobacter.sakazakii,-2.106740901,4.56E-09,1.28E-05
Streptomyces.sp..LX.29,-2.106740901,4.56E-09,1.28E-05
Brevibacillus.choshinensis,-2.106740901,4.56E-09,1.28E-05
Candidatus.Vallotia.lariciata,-2.106740901,4.56E-09,1.28E-05
Bifidobacterium.scardovii,-2.106740901,4.56E-09,1.28E-05
Rhizobium.rosettiformans,-2.106740901,4.56E-09,1.28E-05
Umezawaea.sp..Da.62.37,-2.106740901,4.56E-09,1.28E-05
Hymenobacter.sp..BRD128,-2.106740901,4.56E-09,1.28E-05
Dokdonella.koreensis,-2.106740901,4.56E-09,1.28E-05
Miltoncostaea.marina,-2.106740901,4.56E-09,1.28E-05
Pelobacter.propionicus,-2.106740901,4.56E-09,1.28E-05
Bradyrhizobium.vignae,-2.106740901,4.56E-09,1.28E-05
Actinomyces.qiguomingii,-2.106740901,4.56E-09,1.28E-05
Mesotoga.infera,-2.106740901,4.56E-09,1.28E-05
Intestinibaculum.porci,-2.106740901,4.56E-09,1.28E-05
Grimontia.hollisae,-2.106740901,4.56E-09,1.28E-05
Spirosoma.sp..SC4.14,-2.106740901,4.56E-09,1.28E-05
Chryseobacterium.sp..G0186,-2.106740901,4.56E-09,1.28E-05
Rhodococcus.sovatensis,-2.106740901,4.56E-09,1.28E-05
Mucilaginibacter.sp..5C4,-2.106740901,4.56E-09,1.28E-05
Streptococcus.sp..116.D4,-2.106740901,4.56E-09,1.28E-05
Bifidobacterium.lemurum,-2.106740901,4.56E-09,1.28E-05
Desulfofarcimen.acetoxidans,-2.106740901,4.56E-09,1.28E-05
Spirosoma.aureum,-2.106740901,4.56E-09,1.28E-05
Agromyces.flavus,-2.106740901,4.56E-09,1.28E-05
Bifidobacterium.dentium,-2.106740901,4.56E-09,1.28E-05
Coprobacter.secundus,-2.106740901,4.56E-09,1.28E-05
Luteimonas.chenhongjianii,-2.106740901,4.56E-09,1.28E-05
Usitatibacter.rugosus,-2.106740901,4.56E-09,1.28E-05
Pyxidicoccus.parkwaysis,-2.106740901,4.56E-09,1.28E-05
Adhaeretor.mobilis,-2.106740901,4.56E-09,1.28E-05
uncultured.Acetobacteroides.sp.,-2.106740901,4.56E-09,1.28E-05
Gymnodinialimonas.sp..57CJ19,-2.106740901,4.56E-09,1.28E-05
Roseibium.sp..Sym1,-2.106740901,4.56E-09,1.28E-05
Rhizosphaericola.mali,-2.106740901,4.56E-09,1.28E-05
Limihaloglobus.sulfuriphilus,-2.106740901,4.56E-09,1.28E-05
Aeromonas.popoffii,-2.106740901,4.56E-09,1.28E-05
Rickettsia.amblyommatis,-2.106740901,4.56E-09,1.28E-05
Staphylococcus.aureus,-2.106740901,4.56E-09,1.28E-05
Pantoea.cypripedii,-2.106740901,4.56E-09,1.28E-05
Tessaracoccus.flavus,-2.106740901,4.56E-09,1.28E-05
Brevibacterium.sp..CS2,-2.106740901,4.56E-09,1.28E-05
Limnohabitans.sp..MORI2,-2.106740901,4.56E-09,1.28E-05
Idiomarina.sp.,-2.106740901,4.56E-09,1.28E-05
Myroides.fluvii,-2.106740901,4.56E-09,1.28E-05
Methylobacterium.indicum,-2.106740901,4.56E-09,1.28E-05
Thiomonas.sp..X19,-2.106740901,4.56E-09,1.28E-05
Pedobacter.suwonensis,-2.106740901,4.56E-09,1.28E-05
Bifidobacterium.asteroides,-2.106740901,4.56E-09,1.28E-05
Vreelandella.subglaciescola,-2.106740901,4.56E-09,1.28E-05
Actinomarinicola.tropica,-2.106740901,4.56E-09,1.28E-05
Cyclobacterium.marinum,-2.106740901,4.56E-09,1.28E-05
Dolosigranulum.pigrum,-2.106740901,4.56E-09,1.28E-05
Streptomyces.tubercidicus,-2.106740901,4.56E-09,1.28E-05
Niallia.taxi,-2.106740901,4.56E-09,1.28E-05
Salidesulfovibrio.onnuriiensis,-2.106740901,4.56E-09,1.28E-05
Bifidobacterium.actinocoloniiforme,-2.106740901,4.56E-09,1.28E-05
Bifidobacterium.sp..ESL0775,-2.106740901,4.56E-09,1.28E-05
Paenibacillus.graminis,-2.106740901,4.56E-09,1.28E-05
Bacteroides.ovatus,-2.106740901,4.56E-09,1.28E-05
Nitrosomonas.sp..sh817,-2.106740901,4.56E-09,1.28E-05
Limnobacter.sp..SAORIC.580,-2.106740901,4.56E-09,1.28E-05
Turicibacter.faecis,-2.106740901,4.56E-09,1.28E-05
Parabacteroides.chongii,-2.106740901,4.56E-09,1.28E-05
Globicatella.sp..PHS.GS.PNBC.21.1553,-2.106740901,4.56E-09,1.28E-05
Paenibacillus.tianjinensis,-2.106740901,4.56E-09,1.28E-05
Sphingomonas.flavescens,-2.106740901,4.56E-09,1.28E-05
Salipaludibacillus.sp..LMS25,-2.106740901,4.56E-09,1.28E-05
Microbacterium.sp..M28,-2.106740901,4.56E-09,1.28E-05
Xanthomonas.translucens,-2.106740901,4.56E-09,1.28E-05
Sandaracinobacteroides.saxicola,-2.106740901,4.56E-09,1.28E-05
Haloferax.alexandrinus,-2.106740901,4.56E-09,1.28E-05
Thomasclavelia.ramosa,-2.106740901,4.56E-09,1.28E-05
Treponema.peruense,-2.106740901,4.56E-09,1.28E-05
Streptacidiphilus.sp..P02.A3a,-2.106740901,4.56E-09,1.28E-05
Kocuria.varians,-2.106740901,4.56E-09,1.28E-05
Finegoldia.magna,-2.106740901,4.56E-09,1.28E-05
Chryseobacterium.suipulveris,-2.106740901,4.56E-09,1.28E-05
Oceanithermus.profundus,-2.106740901,4.56E-09,1.28E-05
uncultured.Sphaerochaeta.sp.,-2.106740901,4.56E-09,1.28E-05
